franchise_id,franchise_name,phone,website,email,county_codes
1,"Abbott, Hackett and O'Conner harry",1-648-177-9510,auto-service.co/bw-319-x,Lupe-2485@auto-service.co,"36101,36055,36071"
2,Rutherford-Nienow,1-543-684-2376,auto-service.co/cx-972-h,Benedict-4713@auto-service.co,"42033,42085,36099,42105"
3,Larson Inc,1-659-875-2868,auto-service.co/sw-090-w,Mollie-4450@auto-service.co,"36069,36045,42005,42025"
4,Runolfsdottir and Sons,1-429-495-3107,auto-service.co/yt-783-e,Tyree-4334@auto-service.co,"42101,42117,36003"
5,"Hoppe, Crist and Gerlach",1-606-640-2298,auto-service.co/zy-860-k,Duane-9569@auto-service.co,"36089,36103"
6,Wehner-Hoppe,1-216-454-1326,auto-service.co/be-748-u,Osvaldo-7194@auto-service.co,"36095,42095"
7,Toy Group,1-599-963-8312,auto-service.co/bs-881-y,Delores-1942@auto-service.co,"42133,36055,42133,42091,36081,36123,42109,36107"
8,"Roberts, Murray and Eichmann",1-642-787-6685,auto-service.co/yf-340-u,Cleta-1534@auto-service.co,"42101,36117,42063,36091,36035"
9,"Marks, Sauer and Metz",1-345-358-6863,auto-service.co/cv-774-j,Alexa-0258@auto-service.co,"42125,42101,42045,36103"
10,"Klocko, Langosh and Pfeffer",1-658-227-6651,auto-service.co/rp-701-f,Jack-3827@auto-service.co,"42099,36091,36067,36081,36105,36053"
