ZIP,County_Code,City,ST,County
00501,36103,Holtsville,NY,Suffolk
00544,36103,Holtsville,NY,Suffolk
00601,72001,Adjuntas,PR,Adjuntas
00602,72003,Aguada,PR,Aguada
00603,72005,Aguadilla,PR,Aguadilla
00604,72005,Aguadilla,PR,Aguadilla
00605,72005,Aguadilla,PR,Aguadilla
00606,72093,Maricao,PR,Maricao
00610,72011,Anasco,PR,Anasco
00611,72141,Angeles,PR,Utuado
74343,40115,Fairland,OK,Ottawa
74344,40041,Grove,OK,Delaware
74344,40115,Grove,OK,Ottawa
74345,40041,Grove,OK,Delaware
74346,40041,Jay,OK,Delaware
99824,02110,Douglas,AK,Juneau
99825,02105,Elfin Cove,AK,Hoonah Angoon
99826,02105,Gustavus,AK,Hoonah Angoon
99827,02100,Haines,AK,Haines
99829,02105,Hoonah,AK,Hoonah Angoon
99830,02195,Kake,AK,Petersburg
99832,02105,Pelican,AK,Hoonah Angoon
99833,02195,Petersburg,AK,Petersburg
99835,02220,Sitka,AK,Sitka
99836,02195,Port Alexander,AK,Petersburg
99840,02230,Skagway,AK,Skagway
99841,02105,Tenakee Springs,AK,Hoonah Angoon
99850,02110,Juneau,AK,Juneau
99901,02130,Ketchikan,AK,Ketchikan Gateway
99903,02275,Meyers Chuck,AK,Wrangell
99918,02198,Coffman Cove,AK,Prince of Wales Hyder
99919,02198,Thorne Bay,AK,Prince of Wales Hyder
99921,02198,Craig,AK,Prince of Wales Hyder
99922,02198,Hydaburg,AK,Prince of Wales Hyder
99923,02198,Hyder,AK,Prince of Wales Hyder
99925,02198,Klawock,AK,Prince of Wales Hyder
99926,02198,Metlakatla,AK,Prince of Wales Hyder
99927,02198,Point Baker,AK,Prince of Wales Hyder
99928,02130,Ward Cove,AK,Ketchikan Gateway
99929,02275,Wrangell,AK,Wrangell
99950,02130,Ketchikan,AK,Ketchikan Gateway
